camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
MOR-T1-C2-1300;Riozinho_Liberdade;não;Morro da Pedra;-8021920.28;-869080.344;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T1-C3-2250;Riozinho_Liberdade;não;Morro da Pedra;-8022826.42;-868686.736;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T1-C4-3070;Riozinho_Liberdade;não;Morro da Pedra;-8023531.07;-868224.82;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T2-C1-700;Riozinho_Liberdade;não;Morro da Pedra;-8021830.56;-870082.123;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T2-C2-1400;Riozinho_Liberdade;não;Morro da Pedra;-8022516.73;-869790.431;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T2-C3-2200;Riozinho_Liberdade;não;Morro da Pedra;-8023145.24;-869364.443;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T3-C1-4000;Riozinho_Liberdade;não;Morro da Pedra;-8025182.95;-870324.253;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T3-C2-5340;Riozinho_Liberdade;não;Morro da Pedra;-8026502.75;-869741.869;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MOR-T3-C3-6000;Riozinho_Liberdade;não;Morro da Pedra;-8027169.67;-869717.317;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
NVA-T1-C1-500;Arapixi;não;T;-7566018.99;-1000561.36;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T1-C2-1100;Arapixi;não;T;-7566006.19;-1001241.94;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T1-C3-2000;Arapixi;não;T;-7565983.37;-1002122.09;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T1-C4-3250;Arapixi;não;T;-7565986.71;-1003405.5;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T1-C5-5500;Arapixi;não;T;-7565895.65;-1005600.3;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T2-C1-490;Arapixi;não;U;-7567111.25;-994690.759;Purus varzeá;PV;Amazon River and Flooded Forests;32
