Camera.Trap.Name,data.hora.correta,Photo.time,bin
1031,5/31/13 16:59,16:59:39,Psophia leucoptera
1031,5/31/13 16:59,16:59:46,Psophia leucoptera
1031,5/31/13 16:59,16:59:46,Psophia leucoptera
1031,5/31/13 16:59,16:59:47,Psophia leucoptera
1031,5/31/13 16:59,16:59:53,Psophia leucoptera
1031,5/31/13 16:59,16:59:54,Psophia leucoptera
1031,5/31/13 16:59,16:59:54,Psophia leucoptera
1031,5/31/13 16:59,16:59:59,Psophia leucoptera
1031,5/31/13 17:00,17:00:00,Psophia leucoptera
1031,5/31/13 17:00,17:00:01,Psophia leucoptera
1031,5/31/13 17:00,17:00:13,Psophia leucoptera
1031,5/31/13 17:00,17:00:14,Psophia leucoptera
1031,5/31/13 17:00,17:00:15,Psophia leucoptera
1031,5/31/13 17:00,17:00:20,Psophia leucoptera
1031,5/31/13 17:00,17:00:21,Psophia leucoptera
1031,5/31/13 17:00,17:00:21,Psophia leucoptera
1031,5/31/13 17:00,17:00:26,Psophia leucoptera
1031,5/31/13 17:00,17:00:27,Psophia leucoptera
1031,5/31/13 17:00,17:00:28,Psophia leucoptera
1031,5/31/13 17:00,17:00:44,Psophia leucoptera
1031,5/31/13 17:00,17:00:45,Psophia leucoptera
1031,5/31/13 17:00,17:00:46,Psophia leucoptera
1031,5/31/13 17:00,17:00:52,Psophia leucoptera
1031,5/31/13 17:00,17:00:52,Psophia leucoptera
1031,5/31/13 17:00,17:00:53,Psophia leucoptera
1051,5/17/13 13:55,13:55:17,Dasyprocta fuliginosa
1051,5/17/13 13:55,13:55:18,Dasyprocta fuliginosa
1051,5/17/13 13:55,13:55:19,Dasyprocta fuliginosa
1051,5/17/13 13:55,13:55:25,Dasyprocta fuliginosa
1051,5/17/13 13:55,13:55:25,Dasyprocta fuliginosa
1051,5/17/13 13:55,13:55:26,Dasyprocta fuliginosa
1051,5/23/13 16:18,16:18:12,Dasyprocta fuliginosa
1051,5/23/13 16:18,16:18:13,Dasyprocta fuliginosa
1051,5/23/13 16:18,16:18:14,Dasyprocta fuliginosa
1051,5/25/13 15:17,15:17:24,Dasyprocta fuliginosa
1051,5/25/13 15:17,15:17:25,Dasyprocta fuliginosa
1051,5/25/13 15:17,15:17:26,Dasyprocta fuliginosa
1051,5/8/13 00:43,00:43:29,Dasyspus spp
1051,5/8/13 00:43,00:43:30,Dasyspus spp
1051,5/8/13 00:43,00:43:31,Dasyspus spp
1051,6/4/13 01:16,01:16:34,Dasyspus spp
1051,6/4/13 01:16,01:16:35,Dasyspus spp
1051,6/4/13 01:16,01:16:36,Dasyspus spp
1051,6/4/13 01:16,01:16:54,Dasyspus spp
1051,6/4/13 01:16,01:16:55,Dasyspus spp
1051,6/4/13 01:16,01:16:56,Dasyspus spp
1051,5/4/13 23:24,23:24:29,Echimyidae spp
1051,5/4/13 23:24,23:24:30,Echimyidae spp
1051,5/12/13 00:36,00:36:36,Leopardus pardalis
1051,5/12/13 00:36,00:36:37,Leopardus pardalis
1051,5/12/13 00:36,00:36:38,Leopardus pardalis
1051,5/9/13 14:43,14:43:42,Leptotila spp
1051,5/15/13 07:54,07:54:13,Mazama americana
1051,5/15/13 07:54,07:54:13,Mazama americana
1051,5/15/13 07:54,07:54:14,Mazama americana
1051,5/15/13 07:54,07:54:25,Mazama americana
1051,5/15/13 07:54,07:54:26,Mazama americana
1051,5/15/13 07:54,07:54:26,Mazama americana
1051,5/25/13 11:44,11:44:35,Mazama americana
1051,5/25/13 11:44,11:44:35,Mazama americana
1051,5/25/13 11:44,11:44:36,Mazama americana
1051,5/25/13 11:44,11:44:41,Mazama americana
1051,5/25/13 11:44,11:44:41,Mazama americana
1051,5/25/13 11:44,11:44:42,Mazama americana
1051,6/1/13 17:53,17:53:42,Mazama americana
1051,6/1/13 17:53,17:53:43,Mazama americana
1051,6/1/13 17:53,17:53:44,Mazama americana
1051,6/1/13 17:53,17:53:50,Mazama americana
1051,6/1/13 17:53,17:53:50,Mazama americana
1051,6/1/13 17:53,17:53:51,Mazama americana
1051,5/8/13 03:00,03:00:32,Mazama Sp
1051,5/8/13 03:00,03:00:32,Mazama Sp
1051,5/8/13 03:00,03:00:33,Mazama Sp
1051,5/9/13 01:13,01:13:32,Myoprocta pratti
1051,5/9/13 01:13,01:13:33,Myoprocta pratti
1051,5/9/13 01:13,01:13:34,Myoprocta pratti
1051,5/25/13 10:25,10:25:09,Odontophorus spp
1051,5/25/13 10:25,10:25:09,Odontophorus spp
1051,5/25/13 10:25,10:25:10,Odontophorus spp
1051,5/10/13 06:49,06:49:07,Penelope jacquacu
1051,5/10/13 06:49,06:49:08,Penelope jacquacu
1051,5/10/13 06:49,06:49:09,Penelope jacquacu
1051,5/8/13 00:42,00:42:31,Priodontes maximus
1051,5/8/13 00:42,00:42:32,Priodontes maximus
1051,5/8/13 00:42,00:42:33,Priodontes maximus
1051,5/8/13 00:43,00:43:05,Priodontes maximus
1051,5/8/13 00:43,00:43:06,Priodontes maximus
1051,5/8/13 00:43,00:43:07,Priodontes maximus
1051,5/9/13 05:38,05:38:42,Priodontes maximus
1051,5/9/13 05:38,05:38:43,Priodontes maximus
1051,5/9/13 05:38,05:38:44,Priodontes maximus
1051,5/9/13 05:38,05:38:48,Priodontes maximus
1051,5/9/13 05:38,05:38:49,Priodontes maximus
1051,5/9/13 05:38,05:38:50,Priodontes maximus
1051,5/13/13 12:10,12:10:43,Sciurus spadiceus
1051,5/13/13 12:10,12:10:44,Sciurus spadiceus
1051,5/13/13 12:10,12:10:44,Sciurus spadiceus
1051,5/16/13 09:25,09:25:18,Sciurus spadiceus
1051,5/14/13 01:39,01:39:35,Tapirus terrestris
1051,5/14/13 01:39,01:39:36,Tapirus terrestris
1051,5/14/13 01:39,01:39:37,Tapirus terrestris
1051,5/14/13 01:39,01:39:42,Tapirus terrestris
1051,5/14/13 01:39,01:39:42,Tapirus terrestris
1051,5/14/13 01:39,01:39:43,Tapirus terrestris
1051,5/26/13 18:16,18:16:51,Tinamus spp
1051,5/26/13 18:16,18:16:51,Tinamus spp
1051,5/26/13 18:16,18:16:52,Tinamus spp
1061,5/16/13 07:13,07:13:34,Dasyprocta fuliginosa
1061,5/16/13 07:13,07:13:34,Dasyprocta fuliginosa
1061,5/16/13 07:13,07:13:35,Dasyprocta fuliginosa
1061,5/24/13 17:23,17:23:39,Dasyprocta fuliginosa
