Camera.Trap.Name;Instalacao.1;Retirada.1;;;;;
5041;30/04/2014 14:56;30/05/2014 17:12;;;;;
5042;30/04/2014 14:35;30/05/2014 16:52;;;;;
5043;30/04/2014 14:05;30/05/2014 16:26;;;;;
5044;30/04/2014 13:13;30/05/2014 15:07;;;;;
5045;30/04/2014 12:38;30/05/2014 14:43;;;;;
5052;02/05/2014 15:34;19/06/2014 08:46;;;;;
5053;02/05/2014 15:10;19/06/2014 09:43;;;;;
5054;02/05/2014 14:30;19/06/2014 09:43;;;;;
5055;02/05/2014 13:20;19/06/2014 10:34;;;;;
5061;03/05/2014 13:52;20/06/2014 14:12;;;;;
5062;03/05/2014 13:34;20/06/2014 14:03;;;;;
5063;03/05/2014 13:07;09/05/2014 21:57;;;;;
5064;03/05/2014 12:02;20/06/2014 12:58;;;;;
5065;03/05/2014 10:39;20/06/2014 09:55;;;;;
5072;04/05/2014 14:36;21/06/2014 11:25;;;;;
5073;04/05/2014 14:08;21/06/2014 11:08;;;;;
5074;04/05/2014 13:01;21/06/2014 10:19;;;;;
5075;04/05/2014 11:25;21/06/2014 09:14;;;;;
5081;05/05/2014 14:42;31/05/2014 16:43;;;;;
5082;05/05/2014 14:21;22/06/2014 10:11;;;;;
5083;05/05/2014 13:55;22/06/2014 10:26;;;;;
5084;05/05/2014 12:58;22/06/2014 11:09;;;;;
5085;05/05/2014 11:27;22/06/2014 12:18;;;;;
5091;06/05/2014 17:02;23/06/2014 13:37;;;;;
5092;06/05/2014 16:41;23/06/2014 13:26;;;;;
5093;06/05/2014 16:06;23/06/2014 12:57;;;;;
5094;06/05/2014 15:00;23/06/2014 12:04;;;;;
5095;06/05/2014 13:28;23/06/2014 10:33;;;;;
5101;07/05/2014 14:55;24/06/2014 11:40;;;;;
5102;07/05/2014 14:09;24/06/2014 11:30;;;;;
5103;07/05/2014 14:09;24/06/2014 11:12;;;;;
5104;07/05/2014 13:12;24/06/2014 10:29;;;;;
7011;09/07/2014 17:33;06/08/2014 07:40;;;;;
7012;09/07/2014 17:12;06/08/2014 07:49;;;;;
7013;09/07/2014 16:47;06/08/2014 07:49;;;;;
7014;09/07/2014 15:12;06/08/2014 07:49;;;;;
7015;09/07/2014 13:02;06/08/2014 07:49;;;;;
7021;10/07/2014 17:20;06/08/2014 07:49;;;;;
7022;10/07/2014 16:59;06/08/2014 07:49;;;;;
7023;10/07/2014 16:19;06/08/2014 07:49;;;;;
7025;10/07/2014 13:55;06/08/2014 07:49;;;;;
