Name;RESEX;Entorno;Comunidade;Comunidade_T;Camera;Patrimôni;SD;Dist_comun;Altura;Instalacao;Retirada;N_fotos;Bat_in;Bat_fim;Instalador;Observaça;Vegetacao;Modelo;Transeccao;Cadeado;Problemas;Problem1_from;Problem1_to;distancia_RESEX;Distância_hidrografia;Distância_comunidade;Residências_500m;Residências_2.5km;Residências_5km;Residências_10km;Somatória_densidade;Distância_acesso_cidade
CAP-T3-C2-1000;RMP;Sim;Capacini;Capacini;2;B171015304;CENAP45;1000;35;03/07/2019;22/08/2019;447;;66;RS/Ademilson/Jarson;;TF;E3;3;AMARELO 699;;;;1069.9;689.0;1362.0;0;11;14;70;0.125;1078.7
CAP-T3-C3-1700;RMP;Sim;Capacini;Capacini;3;B160712493;RCI09;1700;45;03/07/2019;22/08/2019;329;;66;RS/Ademilson/Jarson;;TF;E2;3;VERDE 195;;;;1269.2;634.5;2061.8;0;11;14;70;0.125;1782.0
CAP-T3-C4-2000;RMP;Sim;Capacini;Capacini;4;B171015267;CENAP68;2000;45;03/07/2019;22/08/2019;195;;100;RS/Ademilson/Jarson;;TF;E3;3;DOURADO 818;;;;1922.5;56.5;2319.8;0;11;12;58;0.125;2163.2
CAP-T3-C5-3500;RMP;Sim;Capacini;Capacini;5;B171015285;CENAP26;3500;40;03/07/2019;22/08/2019;348;;66;RS/Ademilson/Jarson;;TF;E3;3;DOURADO 146;;;;2244.5;222.4;3824.8;0;0;12;73;0.125;3606.9
CAP-T3-C6-4600;RMP;Sim;Capacini;Capacini;6;B171015236;CENAP22;4600;45;03/07/2019;22/08/2019;672;;66;RS/Ademilson/Jarson;;TF;E3;3;BRANCO 719;;;;3154.4;364.9;4923.0;0;0;11;47;0.125;4754.3
CAZ-T1-C1-250;RCI;Não;Cazumbá;Cazumbá;1;B171015264;CENAP77;250;35;30/05/2018;27/07/2018;258;100;100;RS, Dimá;;MP;E3;T1;;;;;5938.1;211.2;297.3;41;53;87;248;0.319;222.0
CAZ-T1-C2-680;RCI;Não;Cazumbá;Cazumbá;2;B160614241;RCI50;680;20;30/05/2018;27/07/2018;408;100;100;RS, Dimá;;MP-Tab;E2;T1;;;;;5765.2;286.3;854.5;2;57;89;248;0.319;589.6
CAZ-T1-C3-1320;RCI;Não;Cazumbá;Cazumbá;3;B1711014776;CENAP06;1320;40;30/05/2018;27/07/2018;240;100;100;RS, Dimá;Próximo a um igarapé, vareda de catitu;MP-Tab;E3;T1;;;;;5646.4;492.1;1559.1;0;57;92;247;0.319;1124.1
CAZ-T2-C1-450;RCI;Não;Cazumbá;Cazumbá;1;B160316607;RCI26;784;40;31/05/2018;27/07/2018;732;100;100;RS, Dimá;;MP;E2;T2;;;;;6284.2;1.7;456.4;14;51;89;250;0.319;203.1
CAZ-T2-C2-2000;RCI;Não;Cazumbá;Cazumbá;2;B171015033;CENAP69;2000;45;31/05/2018;27/07/2018;480;100;100;RS, Dimá;Próximo do igarapé, sentido baixando;MP;E3;T2;;;;;6515.7;214.7;1713.5;0;46;76;234;0.319;1198.2
