Camera.Trap.Name;data.hora.correta;Photo.time;bin;;;
1031;31/05/2013 16:59;16:59:18;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:19;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:19;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:24;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:25;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:26;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:38;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:38;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:39;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:46;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:46;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:47;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:53;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:54;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:54;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:59;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:00;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:01;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:13;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:14;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:15;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:20;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:21;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:21;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:26;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:27;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:28;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:44;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:45;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:46;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:52;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:52;Psophia spp.;;;
1031;31/05/2013 17:00;17:00:53;Psophia spp.;;;
1051;17/05/2013 13:55;13:55:17;Dasyprocta fuliginosa;;;
