camera_id;X;Y
MAN-T2-C5-4600;-7554921;-985689
MAN-T2-C4-3900;-7554605;-987255
MAR-T1-C2-1600;-7542215;-980893
MAR-T1-C1-1000;-7542056;-981518
MAR-T1-C4-3900;-7543692;-979055
MAR-T1-C3-2500;-7542729;-980116
MAR-T1-C6-5400;-7543974;-977684
MAR-T1-C5-5000;-7544123;-978025
MOI-T1-C2-1300;-7537653;-980240
MOI-T1-C1-475;-7536658;-980485
ROC-T1-C4-4880;-7578505;-1006104
NVA-T1-C5-5500;-7565896;-1005600
BEB-T1-C1-1000;-7533240;-978779
BEB-T1-C4-3800;-7532679;-976034
BEB-T1-C3-2900;-7532670;-976988
BEB-T1-C6-6200;-7534510;-973591
BEB-T1-C5-5400;-7533527;-974339
LAG-T1-C2-1380;-7530113;-986282
LAG-T1-C1-800;-7529629;-985931
LAG-T1-C4-3550;-7531021;-988455
LAG-T1-C3-2400;-7530706;-987194
LAG-T1-C6-6070;-7532598;-990484
LAG-T1-C5-5000;-7531749;-989766
MAN-T1-C2-1450;-7551643;-986488
MAN-T1-C1-680;-7551357;-987402
SFO-T2-C2-1550;-7298575;-843497
SFO-T2-C1-1000;-7298445;-843896
SFO-T2-C4-3750;-7300680;-842150
SFO-T2-C3-2400;-7299379;-842936
SFO-T2-C6-6000;-7302330;-840652
SFO-T2-C5-4760;-7301458;-841499
MAL-T1-C2-1100;-7335685;-859350
REM-T1-C6-5600;-7317463;-846382
CAP-T2-C4-4510;-7239136;-817603
CAP-T2-C3-600_2;-7239668;-817823
LIM-T2-C1-1000;-7425334;-857308
LIM-T2-C3-2000;-7425491;-858433
LIM-T2-C2-1500;-7425507;-857869
LIM-T2-C5-3300;-7425029;-859576
LIM-T2-C4-2600;-7425255;-859020
LIM-T2-C7-5000;-7423931;-860988
LIM-T2-C6-4100;-7424388;-860304
POR-T2-C1-2400;-7380865;-845193
LIM-T2-C8-6000;-7423529;-861893
POR-T2-C3-3800;-7379374;-845609
POR-T2-C2-3000;-7380205;-845262
POR-T2-C5-3300;-7379702;-845182
POR-T2-C4-4100;-7378947;-845443
BJS-T1-C6-6000;-7308061;-859875
BJS-T1-C5-4800;-7308356;-858721
BJS-T2-C2-1300;-7310079;-855220
BJS-T2-C1-750;-7309925;-854636
BJS-T2-C4-3600;-7309568;-857609
BJS-T2-C3-2200;-7310108;-856113
BJS-T2-C6-5800;-7310054;-859813
BJS-T2-C5-4700;-7309978;-858736
CAP-T1-C1-1000;-7240325;-817743
CAP-T1-C4-3750;-7238982;-820014
CAP-T1-C3-2500;-7239613;-819038
CAP-T1-C6-6000;-7237626;-821867
CAP-T1-C5-5000;-7238228;-821143
