camera_id;X;Y;NN
ALE-T1-C3-2550;-72.287;-7.96089;1977.719754
ALE-T1-C4-4800;-72.2832;-7.98179;1120.241685
ALE-T1-C5-5900;-72.2851;-7.99173;1120.241685
ALE-T2-C1-850;-72.2619;-7.89707;671.7185897
ALE-T2-C2-1500;-72.2572;-7.90088;671.7185897
ALE-T2-C3-2800;-72.2504;-7.91077;1324.717533
ALE-T2-C4-4200;-72.2407;-7.91842;1362.089771
ALE-T2-C5-6180;-72.2197;-7.92135;2337.044669
BEB-T1-C1-1000;-67.6722;-8.81632;1858.11301
BEB-T1-C3-2900;-67.6671;-8.80031;942.3510067
BEB-T1-C4-3800;-67.6672;-8.79179;942.3510067
BEB-T1-C5-5400;-67.6748;-8.77664;1220.908334
BEB-T1-C6-6200;-67.6836;-8.76995;1220.908334
BJS-T1-C1-1000;-65.6606;-7.7096;766.2061187
BJS-T1-C2-1700;-65.6557;-7.71459;766.2061187
BJS-T1-C3-2600;-65.652;-7.72141;859.9673439
BJS-T1-C4-3800;-65.6538;-7.7332;994.9793439
BJS-T1-C5-4800;-65.652;-7.74203;994.9793439
BJS-T1-C6-6000;-65.6494;-7.75237;1180.154069
BJS-T2-C1-750;-65.6661;-7.70542;598.9428769
BJS-T2-C2-1300;-65.6675;-7.71066;598.9428769
BJS-T2-C3-2200;-65.6678;-7.71866;885.3401494
BJS-T2-C4-3600;-65.6629;-7.73207;1016.749317
BJS-T2-C5-4700;-65.6666;-7.74216;1069.782072
BJS-T2-C6-5800;-65.6673;-7.75181;1069.782072
C1-T1-C1-1400;-72.0068;-7.69689;583.9111938
C1-T1-C1-330;-68.846;-9.35271;508.7492196
C1-T1-C2-2000;-72.0096;-7.69242;583.9111938
C1-T1-C2-830;-68.8429;-9.3561;508.7492196
C1-T1-C3-1500;-68.8417;-9.36471;408.0373803
C1-T1-C3-2950;-72.0151;-7.68597;939.0943575
C1-T1-C4-2600;-68.8371;-9.37178;783.9953333
C1-T1-C4-4345;-72.0239;-7.67679;724.6749684
C1-T1-C5-6000;-68.8117;-9.39072;503.6037989
C1-T1-C5-6005;-72.0357;-7.66601;1610.515859
C1-T2-C1-1600;-71.9988;-7.68291;611.2182522
C1-T2-C1-600;-68.8517;-9.3557;705.8260435
C1-T2-C2-1200;-68.8476;-9.3619;717.1363352
C1-T2-C2-2240;-72.003;-7.6793;611.2182522
C1-T2-C3-2000;-68.8432;-9.36808;408.0373803
C1-T2-C3-3140;-72.0103;-7.67472;949.2501893
C1-T2-C4-3400;-68.8296;-9.37536;915.830014
C1-T2-C4-4400;-72.0218;-7.67058;724.6749684
C1-T2-C5-6500;-68.8085;-9.39403;503.6037989
C1-T3-C1-1370;-68.8584;-9.34365;634.1005924
C1-T3-C2-2000;-68.8634;-9.3408;507.1037792
C1-T3-C3-2450;-68.8679;-9.33961;507.1037792
C1-T3-C4-4000;-68.8763;-9.32869;1518.724707
C1-T3-C5-6000;-68.8879;-9.3179;1748.185463
C1-T4-C1-1500;-68.8389;-9.34195;926.2790133
C1-T4-C2-2250;-68.8306;-9.34041;926.2790133
C1-T4-C3-3070;-68.8215;-9.34532;1135.502545
C1-T4-C4-4280;-68.812;-9.36417;1463.550209
C1-T4-C5-5700;-68.8018;-9.37269;1463.550209
C2-T1-C1-1280;-68.9347;-9.45519;800.1995369
C2-T1-C1-1900;-71.9432;-7.63163;667.1332707
C2-T1-C2-2050;-68.94;-9.45022;800.1995369
C2-T1-C2-2500;-71.9372;-7.63198;667.1332707
C2-T1-C3-2950;-68.9445;-9.44108;835.084975
C2-T1-C3-3400;-71.929;-7.63117;876.5491851
C2-T1-C4-4000;-68.9498;-9.43566;835.084975
C2-T1-C4-4300;-71.9212;-7.6323;876.5491851
C2-T1-C5-5800;-68.9742;-9.44257;1473.617868
C2-T1-C5-5900;-71.9072;-7.63817;1677.349231
C2-T2-C1-2300;-71.951;-7.66082;677.5384364
C2-T2-C1-950;-68.919;-9.46752;510.3250106
C2-T2-C2-1500;-68.9153;-9.47038;510.3250106
C2-T2-C2-3000;-71.945;-7.65988;677.5384364
C2-T2-C3-2500;-68.9087;-9.47629;978.6660433
C2-T2-C3-3700;-71.9385;-7.65881;728.6389587
C2-T2-C4-4000;-68.9024;-9.48895;1558.871289
C2-T2-C4-4750;-71.9296;-7.65547;1043.860602
C2-T2-C5-6000;-68.8876;-9.49966;2016.346551
C2-T2-C5-6005;-71.916;-7.65869;1541.056928
C2-T3-C1-1000;-68.9337;-9.46322;571.1134177
C2-T3-C1-700;-71.9698;-7.63234;609.51914
C2-T3-C2-1300;-71.9753;-7.63179;609.51914
C2-T3-C2-1600;-68.9386;-9.46137;571.1134177
C2-T3-C3-2330;-71.9844;-7.62805;1085.217371
C2-T3-C3-2500;-68.9466;-9.46366;916.5690387
C2-T3-C4-3800;-68.9593;-9.45859;1318.973757
C2-T3-C4-3850;-71.9974;-7.62551;1461.942066
C2-T3-C5-5100;-68.9709;-9.45546;1318.973757
C2-T3-C5-6000;-72.0171;-7.62372;1967.396784
C2-T4-C1-1050;-68.9077;-9.44931;347.9452576
C2-T4-C2-1500;-68.9047;-9.45038;347.9452576
C2-T4-C3-2500;-68.8948;-9.44883;1104.268706
C2-T4-C4-4000;-68.8811;-9.45663;1733.513685
C2-T4-C5-6320;-68.8631;-9.47012;2469.633143
C3-T1-C1-1500;-71.938;-7.60561;749.4033194
C3-T1-C1-830;-68.9509;-9.54739;634.5695349
C3-T1-C2-1240;-68.9546;-9.54297;634.5695349
C3-T1-C2-2230;-71.9312;-7.6061;749.4033194
C3-T1-C3-2400;-68.9645;-9.54025;1064.913955
C3-T1-C3-3000;-71.9243;-7.60913;831.9736925
C3-T1-C4-3440;-68.9739;-9.53775;1064.913955
C3-T1-C4-4000;-71.9156;-7.6106;769.3865201
C3-T1-C5-4700;-71.9097;-7.61435;769.3865201
C3-T1-C5-6050;-68.9921;-9.51903;2880.014156
C3-T2-C1-200;-68.9392;-9.55642;474.47728
C3-T2-C1-450;-71.9555;-7.60423;772.7537699
C3-T2-C2-1220;-71.9624;-7.60324;662.5692979
C3-T2-C2-550;-68.9358;-9.55918;474.47728
C3-T2-C3-1300;-68.9313;-9.56401;733.6490501
C3-T2-C3-2020;-71.9695;-7.60193;793.5392462
C3-T2-C4-3000;-68.9202;-9.57488;1705.59164
C3-T2-C4-3700;-71.9832;-7.59305;1803.627739
C3-T2-C5-6000;-72.0058;-7.59966;1230.053576
C3-T3-C1-1450;-71.9634;-7.60914;545.7568879
C3-T3-C2-2000;-71.9679;-7.61122;545.7568879
C3-T3-C3-3100;-71.9787;-7.61006;1127.719048
C3-T3-C4-4200;-71.9889;-7.61073;1127.719048
C3-T3-C5-6000;-72.0049;-7.61075;1230.053576
C4-T1-C1-1100;-68.9881;-9.64608;529.0119857
C4-T1-C2-1700;-68.9887;-9.65082;529.0119857
C4-T1-C2-2880;-71.9168;-7.57608;521.9571547
C4-T1-C3-2550;-68.9869;-9.65847;870.6405642
C4-T1-C3-3400;-71.9132;-7.57911;521.9571547
C4-T1-C4-3850;-68.9855;-9.67043;1332.106093
C4-T1-C4-4150;-71.907;-7.58206;757.9822234
C4-T1-C5-5050;-71.9025;-7.5895;891.5329483
C4-T1-C5-6000;-68.9863;-9.6894;2099.384188
C4-T1-C6-5950;-71.8975;-7.5958;891.5329483
C4-T2-C1-1600;-71.9476;-7.54709;789.7620028
C4-T2-C1-1970;-69.0029;-9.6112;1189.31655
C4-T2-C2-2300;-71.9538;-7.54353;789.7620028
C4-T2-C2-3100;-69.0132;-9.60802;818.9502265
C4-T2-C3-3250;-71.9599;-7.53826;897.2925572
C4-T2-C3-3950;-69.0199;-9.60468;818.9502265
C4-T2-C4-4150;-71.9669;-7.53344;931.7145656
C4-T2-C4-4950;-69.0266;-9.59813;1029.311406
C4-T2-C5-5150;-71.9697;-7.52279;1009.54848
C4-T2-C5-6040;-69.0356;-9.59416;1091.326027
C4-T2-C6-6150;-71.9771;-7.5175;1009.54848
C4-T3-C1-950;-71.9562;-7.56811;619.8580372
C4-T3-C2-1530;-71.9617;-7.56893;619.8580372
C4-T3-C3-2350;-71.969;-7.56845;811.1720178
C4-T3-C4-3740;-71.9817;-7.56968;944.4707135
C4-T3-C5-4700;-71.9901;-7.57114;944.4707135
C4-T3-C6-6000;-72.0022;-7.57434;1375.849996
CAP-T1-C1-1000;-65.0409;-7.3747;621.8074315
CAP-T1-C3-2500;-65.0345;-7.38631;1151.948668
CAP-T1-C4-3750;-65.0288;-7.39506;1151.948668
CAP-T1-C5-5000;-65.0221;-7.40519;933.4542489
CAP-T1-C6-6000;-65.0167;-7.41168;933.4542489
CAP-T2-C1-620_1;-65.0462;-7.37669;483.2440689
CAP-T2-C2-500_2;-65.0437;-7.38031;483.2440689
CAP-T2-C3-600_2;-65.035;-7.37541;570.826998
CAP-T2-C4-4510;-65.0302;-7.37345;570.826998
CAP-T3-C1-300;-65.048;-7.36829;676.6569311
CAP-T3-C2-1000;-65.0524;-7.3725;676.6569311
CAP-T3-C3-1700;-65.0574;-7.37648;651.2424373
CAP-T3-C4-2000;-65.0557;-7.38212;651.2424373
CAP-T3-C5-3500;-65.067;-7.38991;1202.388366
CAP-T3-C6-4600;-65.0705;-7.4002;1202.388366
CAZ-T1-C1-250;-68.9537;-9.13182;496.5803679
CAZ-T1-C2-680;-68.9581;-9.12922;565.8817332
CAZ-T1-C3-1320;-68.9639;-9.12681;695.7664617
CAZ-T2-C1-450;-68.9522;-9.13606;496.5803679
CAZ-T2-C2-2000;-68.9557;-9.14673;738.7840509
CAZ-T2-C3-2700;-68.9576;-9.15312;738.7840509
CAZ-T2-C4-4060;-68.9652;-9.16335;1404.331013
CAZ-T2-C5-6500;-68.9769;-9.18289;2513.894027
CAZ-T3-C1-1500;-68.9474;-9.14179;590.7833034
CAZ-T3-C2-2100;-68.9438;-9.14568;590.7833034
CAZ-T3-C3-3050;-68.9432;-9.15489;1020.333346
CAZ-T3-C4-4700;-68.9377;-9.16878;1650.411916
CUI-T1-C1-500;-69.0168;-9.14844;494.1709282
CUI-T1-C2-950;-69.0144;-9.15219;494.1709282
CUI-T1-C3-1500;-69.012;-9.1568;572.6109747
CUI-T1-C4-2670;-69.0065;-9.16176;811.8587919
CUI-T1-C5-4100;-69.003;-9.17533;1550.111373
